BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,100000,1.2,1.1,2.19,yes,HLQλD,DQD
BF,5,1,100000,1.4,1.1,2.50,yes,HLQλD,DualDQC
BF,5,1,100000,1.5,1.1,2.76,yes,HLQλD,DualDQD
BF,5,1,100000,1.8,0.6,5.59,yes,HLQλD,PPO
BF,5,1,100000,3.0,0.6,9.08,yes,HLQλD,QλC
BF,5,1,100000,3.4,0.6,10.50,yes,HLQλD,Q0C
BF,5,1,100000,4.2,0.6,13.41,yes,HLQλD,VPG
BF,5,1,100000,4.6,1.1,7.90,yes,HLQλD,DQC
BF,5,1,100000,9.6,0.6,29.84,yes,HLQλD,FreqC
BF,5,1,100000,12.2,0.6,36.84,yes,HLQλD,FreqD
BF,5,1,100000,0.5,0.6,1.55,no,QλD,Q0D
BF,5,1,100000,0.6,0.6,1.84,no,QλD,HLQλC
BF,5,1,100000,1.0,1.1,1.83,no,QλD,DQD
BF,5,1,100000,1.2,1.1,2.14,yes,QλD,DualDQC
BF,5,1,100000,1.3,1.1,2.39,yes,QλD,DualDQD
BF,5,1,100000,1.6,0.6,4.96,yes,QλD,PPO
BF,5,1,100000,2.8,0.6,8.46,yes,QλD,QλC
BF,5,1,100000,3.2,0.6,9.86,yes,QλD,Q0C
BF,5,1,100000,4.0,0.6,12.74,yes,QλD,VPG
BF,5,1,100000,4.4,1.1,7.56,yes,QλD,DQC
BF,5,1,100000,9.4,0.6,29.15,yes,QλD,FreqC
BF,5,1,100000,12.0,0.7,36.16,yes,QλD,FreqD
BF,5,1,100000,0.1,0.6,0.31,no,Q0D,HLQλC
BF,5,1,100000,0.5,1.1,0.91,no,Q0D,DQD
BF,5,1,100000,0.7,1.1,1.25,no,Q0D,DualDQC
BF,5,1,100000,0.8,1.1,1.47,no,Q0D,DualDQD
BF,5,1,100000,1.1,0.6,3.39,yes,Q0D,PPO
BF,5,1,100000,2.3,0.7,6.90,yes,Q0D,QλC
BF,5,1,100000,2.7,0.6,8.26,yes,Q0D,Q0C
BF,5,1,100000,3.5,0.6,11.07,yes,Q0D,VPG
BF,5,1,100000,3.9,1.1,6.68,yes,Q0D,DQC
BF,5,1,100000,8.9,0.6,27.42,yes,Q0D,FreqC
BF,5,1,100000,11.5,0.7,34.44,yes,Q0D,FreqD
BF,5,1,100000,0.4,1.1,0.73,no,HLQλC,DQD
BF,5,1,100000,0.6,1.1,1.07,no,HLQλC,DualDQC
BF,5,1,100000,0.7,1.1,1.28,no,HLQλC,DualDQD
BF,5,1,100000,1.0,0.6,3.05,yes,HLQλC,PPO
BF,5,1,100000,2.2,0.7,6.54,yes,HLQλC,QλC
BF,5,1,100000,2.6,0.6,7.87,yes,HLQλC,Q0C
BF,5,1,100000,3.4,0.6,10.63,yes,HLQλC,VPG
BF,5,1,100000,3.8,1.1,6.49,yes,HLQλC,DQC
BF,5,1,100000,8.8,0.6,26.82,yes,HLQλC,FreqC
BF,5,1,100000,11.4,0.7,33.79,yes,HLQλC,FreqD
BF,5,1,100000,0.2,1.4,0.28,no,DQD,DualDQC
BF,5,1,100000,0.3,1.4,0.43,no,DQD,DualDQD
BF,5,1,100000,0.6,1.1,1.09,no,DQD,PPO
BF,5,1,100000,1.8,1.1,3.25,yes,DQD,QλC
BF,5,1,100000,2.2,1.1,4.00,yes,DQD,Q0C
BF,5,1,100000,3.0,1.1,5.51,yes,DQD,VPG
BF,5,1,100000,3.4,1.4,4.64,yes,DQD,DQC
BF,5,1,100000,8.4,1.1,15.30,yes,DQD,FreqC
BF,5,1,100000,11.0,1.1,19.83,yes,DQD,FreqD
