BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,30000,0.1,1.4,0.14,no,DualDQC,DQD
BF,5,1,30000,0.2,1.1,0.36,no,DualDQC,QλD
BF,5,1,30000,0.6,1.4,0.85,no,DualDQC,DualDQD
BF,5,1,30000,1.3,1.1,2.32,yes,DualDQC,Q0D
BF,5,1,30000,2.8,1.1,5.01,yes,DualDQC,PPO
BF,5,1,30000,3.7,1.4,5.01,yes,DualDQC,DQC
BF,5,1,30000,3.9,1.1,6.87,yes,DualDQC,QλC
BF,5,1,30000,5.1,1.1,9.01,yes,DualDQC,Q0C
BF,5,1,30000,9.5,1.1,16.94,yes,DualDQC,FreqC
BF,5,1,30000,11.7,1.1,20.72,yes,DualDQC,FreqD
BF,5,1,30000,13.6,1.1,24.88,yes,DualDQC,VPG
BF,5,1,30000,0.1,1.1,0.18,no,DQD,QλD
BF,5,1,30000,0.5,1.4,0.71,no,DQD,DualDQD
BF,5,1,30000,1.2,1.1,2.18,yes,DQD,Q0D
BF,5,1,30000,2.7,1.1,4.92,yes,DQD,PPO
BF,5,1,30000,3.6,1.4,4.93,yes,DQD,DQC
BF,5,1,30000,3.8,1.1,6.82,yes,DQD,QλC
BF,5,1,30000,5.0,1.1,9.00,yes,DQD,Q0C
BF,5,1,30000,9.4,1.1,17.07,yes,DQD,FreqC
BF,5,1,30000,11.6,1.1,20.92,yes,DQD,FreqD
BF,5,1,30000,13.5,1.1,25.18,yes,DQD,VPG
BF,5,1,30000,0.4,1.1,0.74,no,QλD,DualDQD
BF,5,1,30000,1.1,0.6,3.47,yes,QλD,Q0D
BF,5,1,30000,2.6,0.6,8.28,yes,QλD,PPO
BF,5,1,30000,3.5,1.1,6.07,yes,QλD,DQC
BF,5,1,30000,3.7,0.6,11.21,yes,QλD,QλC
BF,5,1,30000,4.9,0.6,14.99,yes,QλD,Q0C
BF,5,1,30000,9.3,0.6,29.22,yes,QλD,FreqC
BF,5,1,30000,11.5,0.6,35.41,yes,QλD,FreqD
BF,5,1,30000,13.4,0.6,45.87,yes,QλD,VPG
BF,5,1,30000,0.7,1.1,1.30,no,DualDQD,Q0D
BF,5,1,30000,2.2,1.1,4.09,yes,DualDQD,PPO
BF,5,1,30000,3.1,1.4,4.29,yes,DualDQD,DQC
BF,5,1,30000,3.3,1.1,6.03,yes,DualDQD,QλC
BF,5,1,30000,4.5,1.1,8.24,yes,DualDQD,Q0C
BF,5,1,30000,8.9,1.1,16.46,yes,DualDQD,FreqC
BF,5,1,30000,11.1,1.1,20.39,yes,DualDQD,FreqD
